iter	Passed	Remaining
0	472	471530
1	492	245875
2	509	169198
3	525	130746
4	542	107902
5	558	92504
6	574	81476
7	593	73606
8	612	67419
9	628	62215
10	643	57897
11	661	54495
12	678	51493
13	696	49037
14	715	47009
15	747	45985
16	776	44878
17	803	43841
18	830	42885
19	853	41803
20	878	40974
21	900	40041
22	924	39265
23	950	38656
24	973	37953
25	994	37274
26	1020	36771
27	1044	36250
28	1061	35525
29	1079	34902
30	1100	34395
31	1122	33944
32	1144	33526
33	1164	33084
34	1187	32729
35	1207	32325
36	1226	31921
37	1243	31489
38	1260	31067
39	1279	30702
40	1295	30295
41	1312	29940
42	1332	29646
43	1349	29313
44	1372	29132
45	1393	28898
46	1409	28587
47	1426	28300
48	1447	28097
49	1464	27824
50	1481	27573
51	1497	27306
52	1514	27064
53	1536	26921
54	1556	26738
55	1579	26622
56	1604	26548
57	1623	26359
58	1640	26163
59	1655	25936
60	1671	25733
61	1689	25557
62	1710	25440
63	1730	25308
64	1749	25164
65	1776	25133
66	1800	25073
67	1821	24964
68	1843	24871
69	1869	24831
70	1890	24742
71	1912	24653
72	1935	24572
73	1958	24511
74	1977	24391
75	1994	24243
76	2013	24136
77	2036	24072
78	2055	23959
79	2082	23949
80	2104	23878
81	2124	23789
82	2143	23681
83	2159	23543
84	2174	23411
85	2192	23296
86	2209	23190
87	2230	23116
88	2247	23003
89	2263	22891
90	2281	22789
91	2298	22688
92	2315	22577
93	2330	22461
94	2347	22365
95	2363	22252
96	2378	22140
97	2392	22024
98	2410	21936
99	2426	21841
100	2445	21770
101	2465	21705
102	2480	21599
103	2496	21510
104	2514	21435
105	2531	21352
106	2546	21253
107	2562	21168
108	2578	21080
109	2594	20994
110	2611	20918
111	2627	20828
112	2643	20751
113	2660	20679
114	2678	20615
115	2694	20532
116	2711	20463
117	2727	20385
118	2753	20382
119	2773	20338
120	2793	20291
121	2813	20250
122	2831	20189
123	2848	20121
124	2864	20049
125	2881	19989
126	2900	19940
127	2921	19900
128	2937	19834
129	2952	19759
130	2967	19687
131	2984	19622
132	3000	19558
133	3015	19488
134	3029	19412
135	3045	19346
136	3061	19286
137	3078	19230
138	3096	19178
139	3114	19131
140	3130	19074
